1,2017-05-16 00:00:00.008+02,INFO,req-38101a0b-2096-447d-96ea-a692162415ae,10.11.10.1,GET,HTTP/1.1,200,1893,0.2477829,OK
2,2017-05-16 00:00:00.272+02,INFO,req-9bc36dd9-91c5-4314-898a-47625eb93b09,10.11.10.1,GET,HTTP/1.1,200,1893,0.2577181,OK
3,2017-05-16 00:00:01.551+02,INFO,req-55db2d8d-cdb7-4b4b-993b-429be84c0c3e,10.11.10.1,GET,HTTP/1.1,200,1893,0.2731631,OK
4,2017-05-16 00:00:01.813+02,INFO,req-2a3dc421-6604-42a7-9390-a18dc824d5d6,10.11.10.1,GET,HTTP/1.1,200,1893,0.2580249,OK
5,2017-05-16 00:00:03.091+02,INFO,req-939eb332-c1c1-4e67-99b8-8695f8f1980a,10.11.10.1,GET,HTTP/1.1,200,1893,0.2727931,OK
6,2017-05-16 00:00:03.358+02,INFO,req-b6a4fa91-7414-432a-b725-52b5613d3ca3,10.11.10.1,GET,HTTP/1.1,200,1893,0.2642131,OK
7,2017-05-16 00:00:04.789+02,INFO,req-bbfc3fb8-7cb3-4ac8-801e-c893d1082762,10.11.10.1,GET,HTTP/1.1,200,1893,0.4256971,OK
8,2017-05-16 00:00:05.06+02,INFO,req-31826992-8435-4e03-bc09-ba9cca2d8ef9,10.11.10.1,GET,HTTP/1.1,200,1893,0.2661140,OK
9,2017-05-16 00:00:06.321+02,INFO,req-7160b3e7-676b-498f-b147-7759d8eaea76,10.11.10.1,GET,HTTP/1.1,200,1893,0.2563808,OK
10,2017-05-16 00:00:06.584+02,INFO,req-e46f1fc1-61ce-4673-b3c7-f8bd94554273,10.11.10.1,GET,HTTP/1.1,200,1893,0.2580891,OK
11,2017-05-16 00:00:07.864+02,INFO,req-546e2e6a-b85e-434a-91dc-53a0a9124a4f,10.11.10.1,GET,HTTP/1.1,200,1893,0.2733629,OK
12,2017-05-16 00:00:08.137+02,INFO,req-e2c35e53-06d3-4feb-84b9-705c94d40e5b,10.11.10.1,GET,HTTP/1.1,200,1893,0.2694771,OK
13,2017-05-16 00:00:09.411+02,INFO,req-ce9c8a59-c9ba-43b1-9735-318ceabc9216,10.11.10.1,GET,HTTP/1.1,200,1893,0.2692339,OK
14,2017-05-16 00:00:09.692+02,INFO,req-e1da47c6-0f46-4ce8-940c-05397a5fab9e,10.11.10.1,GET,HTTP/1.1,200,1893,0.2777061,OK
15,2017-05-16 00:00:10.285+02,INFO,req-ab451068-9756-4ad9-9d18-5ceaa6424627,10.11.10.1,POST,HTTP/1.1,200,380,0.0913219,OK
16,2017-05-16 00:00:10.978+02,INFO,req-d81279b2-d9df-48b7-9c36-edab3801c067,10.11.10.1,GET,HTTP/1.1,200,1910,0.2808621,OK
17,2017-05-16 00:00:11.243+02,INFO,req-22455aab-13cf-4045-92e8-65371ef51485,10.11.10.1,GET,HTTP/1.1,200,1910,0.2603891,OK
18,2017-05-16 00:00:17.504+02,INFO,req-c53a921a-16c7-422e-8c9d-c922a720d047,10.11.10.1,DELETE,HTTP/1.1,204,203,0.2534380,No Content
